,Дата,За 0 дней,За 1 дней,За 2 дней,За 3 дней,За 4 дней,За 5 дней,За 6 дней,За 7 дней,За 8 дней,За 9 дней,fact
0,2026-04-26,2.5,,,,,,,,,,
1,2026-04-27,2.5,2.5,,,,,,,,,3
2,2026-04-28,2.5,2.5,2.5,,,,,,,,3
3,2026-04-29,2.5,2.5,2.5,2.5,,,,,,,0
4,2026-04-30,0.0,0.0,0.0,0.0,0.0,,,,,,0
5,2026-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1
6,2026-05-02,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,,,2
7,2026-05-03,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0
8,2026-05-04,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0
9,2026-05-05,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
10,2026-05-06,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0
11,2026-05-07,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0
12,2026-05-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,
13,2026-05-09,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,
14,2026-05-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0
15,2026-05-11,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
16,2026-05-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.5,0.0,2
17,2026-05-13,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.5,
18,2026-05-14,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,
19,2026-05-15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,
20,2026-05-16,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2
21,2026-05-17,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2
22,2026-05-18,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2
23,2026-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
24,2026-05-20,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2
25,2026-05-21,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0
26,2026-05-22,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0
27,2026-05-23,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2
28,2026-05-24,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1
29,2026-05-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0
30,2026-05-26,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0
31,2026-05-27,2.5,2.5,2.5,2.5,1.0,0.0,0.0,0.0,2.0,1.0,3
32,2026-05-28,0.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,2.5,0
33,2026-05-29,2.5,2.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2
34,2026-05-30,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2
35,2026-05-31,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0
36,2026-06-01,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0
37,2026-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
38,2026-06-03,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
39,2026-06-04,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
40,2026-06-05,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
41,2026-06-06,,,,,0.0,0.0,0.0,1.0,1.0,1.0,0
42,2026-06-07,,,,,,1.0,0.0,1.0,1.0,0.0,2
43,2026-06-08,,,,,,,1.0,0.0,0.0,1.0,0
44,2026-06-09,,,,,,,,1.0,0.0,0.0,0
45,2026-06-10,,,,,,,,,1.0,0.0,2
46,2026-06-11,0.0,,,,,,,,,2.0,0
47,2026-06-12,1.0,0.0,,,,,,,,,0
48,2026-06-13,0.0,0.0,0.0,,,,,,,,0
49,2026-06-14,1.0,1.0,1.0,1.0,,,,,,,2
