,За 0 дней,За 1 дней,За 2 дней,За 3 дней,За 4 дней,За 5 дней,За 6 дней,За 7 дней,За 8 дней,За 9 дней
2026-04-27,0.0,,,,,,,,,
2026-04-28,0.0,0.0,,,,,,,,
2026-04-29,0.0,0.0,0.0,,,,,,,
2026-04-30,0.0,0.0,0.0,0.0,,,,,,
2026-05-01,0.0,0.0,0.0,0.0,0.0,,,,,
2026-05-02,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2026-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-05-06,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
2026-05-13,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
2026-05-14,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
2026-05-15,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
2026-05-16,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2026-05-17,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-19,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2026-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-21,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0
2026-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-27,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
2026-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-30,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2026-05-31,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
2026-06-02,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
2026-06-03,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
2026-06-04,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
2026-06-05,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2026-06-06,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2026-06-07,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2026-06-08,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0
2026-06-09,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2026-06-10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
2026-06-11,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
2026-06-12,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2026-06-13,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2026-06-14,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2026-06-15,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2026-06-16,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2026-06-17,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0
2026-06-18,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0
2026-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-21,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
2026-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
2026-06-25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
2026-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
