,Дата,За 0 дней,За 1 дней,За 2 дней,За 3 дней,За 4 дней,За 5 дней,За 6 дней,За 7 дней,За 8 дней,За 9 дней,fact
0,2026-04-26,0.0,,,,,,,,,,
1,2026-04-27,0.0,0.0,,,,,,,,,0
2,2026-04-28,0.0,0.0,0.0,,,,,,,,0
3,2026-04-29,0.0,0.0,0.0,2.0,,,,,,,0
4,2026-04-30,0.0,0.0,0.0,0.0,0.0,,,,,,0
5,2026-05-01,0.0,0.0,0.0,0.0,2.0,2.0,,,,,0
6,2026-05-02,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,,,0
7,2026-05-03,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,,,0
8,2026-05-04,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,0
9,2026-05-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0
10,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0
11,2026-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0
12,2026-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13,2026-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
14,2026-05-10,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0
15,2026-05-11,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0
16,2026-05-12,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0
17,2026-05-13,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,
18,2026-05-14,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,
19,2026-05-15,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,
20,2026-05-16,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2
21,2026-05-17,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0
22,2026-05-18,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1
23,2026-05-19,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2
24,2026-05-20,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0
25,2026-05-21,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0
26,2026-05-22,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0
27,2026-05-23,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0
28,2026-05-24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0
29,2026-05-25,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0
30,2026-05-26,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2
31,2026-05-27,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
32,2026-05-28,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0
33,2026-05-29,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
34,2026-05-30,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2
35,2026-05-31,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0
36,2026-06-01,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2
37,2026-06-02,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0
38,2026-06-03,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0
39,2026-06-04,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0
40,2026-06-05,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0
